title,link,published,summary,source,content,id
"Assassination in Utah, school shooting in Colorado: one day in US gun violence - The Guardian",https://news.google.com/rss/articles/CBMinwFBVV95cUxQVk5HNDFhWWc1T29pT2xBSkNadXFBMDJGSGpvR3dwLW5LSUV1LWNsalpkWFRFdzdzdDFWZkwxRFZtUktIM042RDRZUEhGWnFyeFFwRmJIRk9rWEl4bmxvTktwZmRhNjdvUVc0cjZ1ZDZLUHVQSU42ZHRiRXUzWndPTjVmaVdmemtLZlI2TVJ1V0pzcmtlbXdLNFdvakVTWUE?oc=5,"Sat, 13 Sep 2025 13:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQVk5HNDFhWWc1T29pT2xBSkNadXFBMDJGSGpvR3dwLW5LSUV1LWNsalpkWFRFdzdzdDFWZkwxRFZtUktIM042RDRZUEhGWnFyeFFwRmJIRk9rWEl4bmxvTktwZmRhNjdvUVc0cjZ1ZDZLUHVQSU42ZHRiRXUzWndPTjVmaVdmemtLZlI2TVJ1V0pzcmtlbXdLNFdvakVTWUE?oc=5"" target=""_blank"">Assassination in Utah, school shooting in Colorado: one day in US gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQVk5HNDFhWWc1T29pT2xBSkNadXFBMDJGSGpvR3dwLW5LSUV1LWNsalpkWFRFdzdzdDFWZkwxRFZtUktIM042RDRZUEhGWnFyeFFwRmJIRk9rWEl4bmxvTktwZmRhNjdvUVc0cjZ1ZDZLUHVQSU42ZHRiRXUzWndPTjVmaVdmemtLZlI2TVJ1V0pzcmtlbXdLNFdvakVTWUE?oc=5"" target=""_blank"">Assassination in Utah, school shooting in Colorado: one day in US gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font>",rss_1757826250989_kzwx4ts1l
Charlie Kirk’s Assassination Is Part of a Trend: Spiking Gun Violence in Red States - The Intercept,https://news.google.com/rss/articles/CBMifkFVX3lxTFBTVGhRdVlIaTd2empQNGVNdzFrWF8yd3puRmtwSm05MTVsVmJDVDYxM2g3bmpzcGxYcklSM3FoVkdXTjdUNmhDdm5TSW1ILU5va201V3hvTm91ODRheUZRWE9hNFVqN2RRSGtJS1Z1RnZVNzFldHM5RmUzR0s2QQ?oc=5,"Fri, 12 Sep 2025 09:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTFBTVGhRdVlIaTd2empQNGVNdzFrWF8yd3puRmtwSm05MTVsVmJDVDYxM2g3bmpzcGxYcklSM3FoVkdXTjdUNmhDdm5TSW1ILU5va201V3hvTm91ODRheUZRWE9hNFVqN2RRSGtJS1Z1RnZVNzFldHM5RmUzR0s2QQ?oc=5"" target=""_blank"">Charlie Kirk’s Assassination Is Part of a Trend: Spiking Gun Violence in Red States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Intercept</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTFBTVGhRdVlIaTd2empQNGVNdzFrWF8yd3puRmtwSm05MTVsVmJDVDYxM2g3bmpzcGxYcklSM3FoVkdXTjdUNmhDdm5TSW1ILU5va201V3hvTm91ODRheUZRWE9hNFVqN2RRSGtJS1Z1RnZVNzFldHM5RmUzR0s2QQ?oc=5"" target=""_blank"">Charlie Kirk’s Assassination Is Part of a Trend: Spiking Gun Violence in Red States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Intercept</font>",rss_1757826250989_6gho9r8jj
"Since Columbine in 1999, Colorado continues to be scarred by gun violence - CNN",https://news.google.com/rss/articles/CBMic0FVX3lxTE8xclk0U3Q1UG9GX0ZlTlJMME9TczlyY1RFcUVoOVA0eGJTSldBUEtQa2tPZzJrcjdmaU5JX2lqMXR1cVZkRWhmSHV0eUZQcHhoTU9xS3BqcWNrclBMTzVsdWJwSzAxWmg2VDNtUnZzeHlveDA?oc=5,"Thu, 11 Sep 2025 09:30:05 GMT","<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE8xclk0U3Q1UG9GX0ZlTlJMME9TczlyY1RFcUVoOVA0eGJTSldBUEtQa2tPZzJrcjdmaU5JX2lqMXR1cVZkRWhmSHV0eUZQcHhoTU9xS3BqcWNrclBMTzVsdWJwSzAxWmg2VDNtUnZzeHlveDA?oc=5"" target=""_blank"">Since Columbine in 1999, Colorado continues to be scarred by gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE8xclk0U3Q1UG9GX0ZlTlJMME9TczlyY1RFcUVoOVA0eGJTSldBUEtQa2tPZzJrcjdmaU5JX2lqMXR1cVZkRWhmSHV0eUZQcHhoTU9xS3BqcWNrclBMTzVsdWJwSzAxWmg2VDNtUnZzeHlveDA?oc=5"" target=""_blank"">Since Columbine in 1999, Colorado continues to be scarred by gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",rss_1757826250989_sqodb33x5
Students in Jefferson County hold walkouts to protest gun violence - KUSA.com,https://news.google.com/rss/articles/CBMi6AFBVV95cUxPeVl5WlZGZ3c0dXpjd0E0ejV6OFZKVl9MSGF4SlctQUFiQkQtRzVpQzBDa3BKTEY0OWthNjZoazViYVRjd3hwVXpnZWx2SVRBZE1ENmhXRDJIUkotTzVRZkgwem1SQ3o4Qkd5LTBVMzBsbWtkTDZiRE9JMGFUZjY1MGZLdnF4cUp5dnRDb2VwRFA2Y0oybmpWbk1aTktLRzJsRkFJcXktZHBnSnNrMVpXT0R6aDlveW1IdHYtZEMtQWhrZUtkVjVVZVU2bFRzYmc4V3BTQ3VCbVBRQzFySDJmaW0tdUpSeDhD?oc=5,"Sat, 13 Sep 2025 01:27:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxPeVl5WlZGZ3c0dXpjd0E0ejV6OFZKVl9MSGF4SlctQUFiQkQtRzVpQzBDa3BKTEY0OWthNjZoazViYVRjd3hwVXpnZWx2SVRBZE1ENmhXRDJIUkotTzVRZkgwem1SQ3o4Qkd5LTBVMzBsbWtkTDZiRE9JMGFUZjY1MGZLdnF4cUp5dnRDb2VwRFA2Y0oybmpWbk1aTktLRzJsRkFJcXktZHBnSnNrMVpXT0R6aDlveW1IdHYtZEMtQWhrZUtkVjVVZVU2bFRzYmc4V3BTQ3VCbVBRQzFySDJmaW0tdUpSeDhD?oc=5"" target=""_blank"">Students in Jefferson County hold walkouts to protest gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KUSA.com</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxPeVl5WlZGZ3c0dXpjd0E0ejV6OFZKVl9MSGF4SlctQUFiQkQtRzVpQzBDa3BKTEY0OWthNjZoazViYVRjd3hwVXpnZWx2SVRBZE1ENmhXRDJIUkotTzVRZkgwem1SQ3o4Qkd5LTBVMzBsbWtkTDZiRE9JMGFUZjY1MGZLdnF4cUp5dnRDb2VwRFA2Y0oybmpWbk1aTktLRzJsRkFJcXktZHBnSnNrMVpXT0R6aDlveW1IdHYtZEMtQWhrZUtkVjVVZVU2bFRzYmc4V3BTQ3VCbVBRQzFySDJmaW0tdUpSeDhD?oc=5"" target=""_blank"">Students in Jefferson County hold walkouts to protest gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KUSA.com</font>",rss_1757826250989_co810qshf
Witnesses say Charlie Kirk was debating about gun violence before deadly shooting - cbsnews.com,https://news.google.com/rss/articles/CBMihwFBVV95cUxPTDllaGpSMTRSY2szUWpwTUxzWjVjMEtoT2hLZmx6VjlZZ190QTRTal9tUEpnNmlmM0RGeUNkdkI0RFo5NVNhUVZDRlFlM09ZdGpjZzBPQlg1MjV3QW1TdXh4ZXNxTm42WEJ5YmFtYkxUQVVzWmttcWs4TVV1bjNRMmM2TUF5WnPSAYwBQVVfeXFMT3JKQ1VQVmFzclpHVTBWa19OWXdJY2N2Q1h0ckpLcWRJZDJnamRtSlJLcDluZ2hSRnpZYlROclRxallHVUg3NnRqdnJ4QjN0d3NtT0VrNXVDdmk0UzM2emJzNmNDdDBtNmFWWUR1ZjhoQTAzTWpCQlYxSW9FZXZSUF9QbnBCOFRWd3Y0bFQ?oc=5,"Thu, 11 Sep 2025 00:08:00 GMT","<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxPTDllaGpSMTRSY2szUWpwTUxzWjVjMEtoT2hLZmx6VjlZZ190QTRTal9tUEpnNmlmM0RGeUNkdkI0RFo5NVNhUVZDRlFlM09ZdGpjZzBPQlg1MjV3QW1TdXh4ZXNxTm42WEJ5YmFtYkxUQVVzWmttcWs4TVV1bjNRMmM2TUF5WnPSAYwBQVVfeXFMT3JKQ1VQVmFzclpHVTBWa19OWXdJY2N2Q1h0ckpLcWRJZDJnamRtSlJLcDluZ2hSRnpZYlROclRxallHVUg3NnRqdnJ4QjN0d3NtT0VrNXVDdmk0UzM2emJzNmNDdDBtNmFWWUR1ZjhoQTAzTWpCQlYxSW9FZXZSUF9QbnBCOFRWd3Y0bFQ?oc=5"" target=""_blank"">Witnesses say Charlie Kirk was debating about gun violence before deadly shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxPTDllaGpSMTRSY2szUWpwTUxzWjVjMEtoT2hLZmx6VjlZZ190QTRTal9tUEpnNmlmM0RGeUNkdkI0RFo5NVNhUVZDRlFlM09ZdGpjZzBPQlg1MjV3QW1TdXh4ZXNxTm42WEJ5YmFtYkxUQVVzWmttcWs4TVV1bjNRMmM2TUF5WnPSAYwBQVVfeXFMT3JKQ1VQVmFzclpHVTBWa19OWXdJY2N2Q1h0ckpLcWRJZDJnamRtSlJLcDluZ2hSRnpZYlROclRxallHVUg3NnRqdnJ4QjN0d3NtT0VrNXVDdmk0UzM2emJzNmNDdDBtNmFWWUR1ZjhoQTAzTWpCQlYxSW9FZXZSUF9QbnBCOFRWd3Y0bFQ?oc=5"" target=""_blank"">Witnesses say Charlie Kirk was debating about gun violence before deadly shooting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font>",rss_1757826250989_ydhm5e8i1
I was shot in the neck. Charlie Kirk's shooting shows danger of normalizing violence. | Opinion - USA Today,https://news.google.com/rss/articles/CBMisAFBVV95cUxPcC1Kd1BfYmZiRzZQS25iREJlWGkzZ0puLWFtLUphR3RjcDRJU0VIMWdpMFA4dUhmQkNDdTJYUkU4ejNLOTZhX1NBa2tDck1oQngzZ09lMEZrRjJqSXBuVTlmN1Y3a25oQnRON1FETngzTWlJdVVxbXdxVTNNRFRraUpXMXczSXY4aGV6RWJ0VmdtMkl4Z3A2NF9TUFBvRDQxX1Y4SDg1M0xuZ1oxTmxhWg?oc=5,"Sun, 14 Sep 2025 03:47:18 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPcC1Kd1BfYmZiRzZQS25iREJlWGkzZ0puLWFtLUphR3RjcDRJU0VIMWdpMFA4dUhmQkNDdTJYUkU4ejNLOTZhX1NBa2tDck1oQngzZ09lMEZrRjJqSXBuVTlmN1Y3a25oQnRON1FETngzTWlJdVVxbXdxVTNNRFRraUpXMXczSXY4aGV6RWJ0VmdtMkl4Z3A2NF9TUFBvRDQxX1Y4SDg1M0xuZ1oxTmxhWg?oc=5"" target=""_blank"">I was shot in the neck. Charlie Kirk's shooting shows danger of normalizing violence. | Opinion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">USA Today</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPcC1Kd1BfYmZiRzZQS25iREJlWGkzZ0puLWFtLUphR3RjcDRJU0VIMWdpMFA4dUhmQkNDdTJYUkU4ejNLOTZhX1NBa2tDck1oQngzZ09lMEZrRjJqSXBuVTlmN1Y3a25oQnRON1FETngzTWlJdVVxbXdxVTNNRFRraUpXMXczSXY4aGV6RWJ0VmdtMkl4Z3A2NF9TUFBvRDQxX1Y4SDg1M0xuZ1oxTmxhWg?oc=5"" target=""_blank"">I was shot in the neck. Charlie Kirk's shooting shows danger of normalizing violence. | Opinion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">USA Today</font>",rss_1757826250989_nz421f6yz
Gun Violence To 'China Virus': A Look At Charlie Kirk's Controversial Takes - NDTV,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOQTJBSlNTb0p1Y0ZILTlkcG1XT2E3dWRfeGVJeDBuNXNFX1duQ0lRaFNWTmFydmdDQmtQU3dUYjY1MWVody1qYlp0cWZ6bi1SQmREcndZUGQzWk1GZ3J3SlcycHoyLVhJVmVBTzE2WU41SVljQ05PMzItYkEtbVA3eW1UZ3dVNGdfRjRCQ1JHTTAyWHdISm4xSklSMGItbk44bTFQT01CdUNtUmJZb09rZ09qbHZQUnZsR1ljTWZNMWtVOC1KMHQtZEliSmJyc1FQREHSAdoBQVVfeXFMTTU4al9zc2RWQzg2bmlVX2hKcjExVTRkaGpSX3gzVGtxOVZmd0FIR3dQV3FqUm53QVhpdEU3Qk1BdG9qbUtYcDEwT0N1bkI3Y1dUQkpkcDctV014dmVpZnVpX0VhSE9maUdadEdRV295UzJ5OVIzclhHQW1ybHI3X3RSMTUxMlkwMW51MzZla25VZVlkV0hzeVRGaVczZmYxNW11Y0FhdlJSOWZHZ0JfaTFfSnJfMlhDdGlGWG1KX1p2N0M0YV85MHc3Zmo5R0RBdUVUVjZfdlZjcFE?oc=5,"Thu, 11 Sep 2025 06:52:08 GMT","<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxOQTJBSlNTb0p1Y0ZILTlkcG1XT2E3dWRfeGVJeDBuNXNFX1duQ0lRaFNWTmFydmdDQmtQU3dUYjY1MWVody1qYlp0cWZ6bi1SQmREcndZUGQzWk1GZ3J3SlcycHoyLVhJVmVBTzE2WU41SVljQ05PMzItYkEtbVA3eW1UZ3dVNGdfRjRCQ1JHTTAyWHdISm4xSklSMGItbk44bTFQT01CdUNtUmJZb09rZ09qbHZQUnZsR1ljTWZNMWtVOC1KMHQtZEliSmJyc1FQREHSAdoBQVVfeXFMTTU4al9zc2RWQzg2bmlVX2hKcjExVTRkaGpSX3gzVGtxOVZmd0FIR3dQV3FqUm53QVhpdEU3Qk1BdG9qbUtYcDEwT0N1bkI3Y1dUQkpkcDctV014dmVpZnVpX0VhSE9maUdadEdRV295UzJ5OVIzclhHQW1ybHI3X3RSMTUxMlkwMW51MzZla25VZVlkV0hzeVRGaVczZmYxNW11Y0FhdlJSOWZHZ0JfaTFfSnJfMlhDdGlGWG1KX1p2N0M0YV85MHc3Zmo5R0RBdUVUVjZfdlZjcFE?oc=5"" target=""_blank"">Gun Violence To 'China Virus': A Look At Charlie Kirk's Controversial Takes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxOQTJBSlNTb0p1Y0ZILTlkcG1XT2E3dWRfeGVJeDBuNXNFX1duQ0lRaFNWTmFydmdDQmtQU3dUYjY1MWVody1qYlp0cWZ6bi1SQmREcndZUGQzWk1GZ3J3SlcycHoyLVhJVmVBTzE2WU41SVljQ05PMzItYkEtbVA3eW1UZ3dVNGdfRjRCQ1JHTTAyWHdISm4xSklSMGItbk44bTFQT01CdUNtUmJZb09rZ09qbHZQUnZsR1ljTWZNMWtVOC1KMHQtZEliSmJyc1FQREHSAdoBQVVfeXFMTTU4al9zc2RWQzg2bmlVX2hKcjExVTRkaGpSX3gzVGtxOVZmd0FIR3dQV3FqUm53QVhpdEU3Qk1BdG9qbUtYcDEwT0N1bkI3Y1dUQkpkcDctV014dmVpZnVpX0VhSE9maUdadEdRV295UzJ5OVIzclhHQW1ybHI3X3RSMTUxMlkwMW51MzZla25VZVlkV0hzeVRGaVczZmYxNW11Y0FhdlJSOWZHZ0JfaTFfSnJfMlhDdGlGWG1KX1p2N0M0YV85MHc3Zmo5R0RBdUVUVjZfdlZjcFE?oc=5"" target=""_blank"">Gun Violence To 'China Virus': A Look At Charlie Kirk's Controversial Takes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>",rss_1757826250989_37agdonso
"As U.S. faces deadly week, gun violence experts lament end of prevention research - statnews.com",https://news.google.com/rss/articles/CBMihgFBVV95cUxQdlBFRWpKYUNoYWVUOTRxWlBLMVhaS1BKVGJqc1pFX1FHbWJJUlh4NjluaFZYaVNKNnJYQ2xGeThlZC1kem4wLXU1T3BDX0V0bWRJQW5HeWRTeG1YWFd5TWZYVnBIT1FFemt3azhnYlVsSFR0dXlqbVNHTFNqS25mU1ZUYzVydw?oc=5,"Fri, 12 Sep 2025 20:02:55 GMT","<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxQdlBFRWpKYUNoYWVUOTRxWlBLMVhaS1BKVGJqc1pFX1FHbWJJUlh4NjluaFZYaVNKNnJYQ2xGeThlZC1kem4wLXU1T3BDX0V0bWRJQW5HeWRTeG1YWFd5TWZYVnBIT1FFemt3azhnYlVsSFR0dXlqbVNHTFNqS25mU1ZUYzVydw?oc=5"" target=""_blank"">As U.S. faces deadly week, gun violence experts lament end of prevention research</a>&nbsp;&nbsp;<font color=""#6f6f6f"">statnews.com</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxQdlBFRWpKYUNoYWVUOTRxWlBLMVhaS1BKVGJqc1pFX1FHbWJJUlh4NjluaFZYaVNKNnJYQ2xGeThlZC1kem4wLXU1T3BDX0V0bWRJQW5HeWRTeG1YWFd5TWZYVnBIT1FFemt3azhnYlVsSFR0dXlqbVNHTFNqS25mU1ZUYzVydw?oc=5"" target=""_blank"">As U.S. faces deadly week, gun violence experts lament end of prevention research</a>&nbsp;&nbsp;<font color=""#6f6f6f"">statnews.com</font>",rss_1757826250989_ts8reypch
JeffCo students walkout of school to protest gun violence in solidarity with Evergreen students - Colorado Public Radio,https://news.google.com/rss/articles/CBMimgFBVV95cUxPNktocC1NWHFlb2RhZTN6Z0xsbDR1cVJ2TTJDRWtmV1JxTmFjckdMMGp3MjJXa3dObGtTLWJMVE51dXRjVFZfU3pQaENjcFgxOHpKVHRXNGhfRDNkSjdEWGxvb2RvOUJWMU04Y3FuOVBJVzJyWERmam9QUFhGNnpCOEZqeU9ibHRfbFVDdk5GOVkwdTdrSmw5OTJ3?oc=5,"Fri, 12 Sep 2025 21:42:51 GMT","<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPNktocC1NWHFlb2RhZTN6Z0xsbDR1cVJ2TTJDRWtmV1JxTmFjckdMMGp3MjJXa3dObGtTLWJMVE51dXRjVFZfU3pQaENjcFgxOHpKVHRXNGhfRDNkSjdEWGxvb2RvOUJWMU04Y3FuOVBJVzJyWERmam9QUFhGNnpCOEZqeU9ibHRfbFVDdk5GOVkwdTdrSmw5OTJ3?oc=5"" target=""_blank"">JeffCo students walkout of school to protest gun violence in solidarity with Evergreen students</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Colorado Public Radio</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPNktocC1NWHFlb2RhZTN6Z0xsbDR1cVJ2TTJDRWtmV1JxTmFjckdMMGp3MjJXa3dObGtTLWJMVE51dXRjVFZfU3pQaENjcFgxOHpKVHRXNGhfRDNkSjdEWGxvb2RvOUJWMU04Y3FuOVBJVzJyWERmam9QUFhGNnpCOEZqeU9ibHRfbFVDdk5GOVkwdTdrSmw5OTJ3?oc=5"" target=""_blank"">JeffCo students walkout of school to protest gun violence in solidarity with Evergreen students</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Colorado Public Radio</font>",rss_1757826250989_h5b5abi6l
WATCH: Kennedy says NIH is studying possible causes of U.S. gun violence - PBS,https://news.google.com/rss/articles/CBMiqgFBVV95cUxObDd5TXdrcWNEc2RZQkxnMG00ZVplcnBldkhLYTd2cncyY01IR0pWVVRvNTMtbEg3S2Z6cjFnWmlxSXZBQlVzQTdDaXE5LWQ2SlFVTWYwTVFkVFhOR1JrLVVJVGd3RWwyNDdzWUVpQjcwQlNxOXNoZTNNMDczajJBSlZFNWxqLW5OdHpuZnpCcUZFUW5SekhMakJuMW9vNm9yMzdvdE1zbTVhZ9IBrwFBVV95cUxOeGg5ZEZVVmwwN1BybDRrSWhJLXBnOXJYdHktLXYySHJYaWdLN1F2NXNYSGRUWEJnY3pSWktuTjJFZ2dpUDJKd3pxZ3NoZEdtdk5CT3VUdEpRQkNuMUVTMzFFdHJKUjVEWnNSRHVYY2h6bk1WREpjZ3htZkEwbFFxNzd1ZFdJeEtPRC1EeW9OM1Ftb19ZREt3U2xFZ3FYV25Vd1QyTGFUbkRiVEFGTDE4?oc=5,"Tue, 09 Sep 2025 20:57:03 GMT","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxObDd5TXdrcWNEc2RZQkxnMG00ZVplcnBldkhLYTd2cncyY01IR0pWVVRvNTMtbEg3S2Z6cjFnWmlxSXZBQlVzQTdDaXE5LWQ2SlFVTWYwTVFkVFhOR1JrLVVJVGd3RWwyNDdzWUVpQjcwQlNxOXNoZTNNMDczajJBSlZFNWxqLW5OdHpuZnpCcUZFUW5SekhMakJuMW9vNm9yMzdvdE1zbTVhZ9IBrwFBVV95cUxOeGg5ZEZVVmwwN1BybDRrSWhJLXBnOXJYdHktLXYySHJYaWdLN1F2NXNYSGRUWEJnY3pSWktuTjJFZ2dpUDJKd3pxZ3NoZEdtdk5CT3VUdEpRQkNuMUVTMzFFdHJKUjVEWnNSRHVYY2h6bk1WREpjZ3htZkEwbFFxNzd1ZFdJeEtPRC1EeW9OM1Ftb19ZREt3U2xFZ3FYV25Vd1QyTGFUbkRiVEFGTDE4?oc=5"" target=""_blank"">WATCH: Kennedy says NIH is studying possible causes of U.S. gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PBS</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxObDd5TXdrcWNEc2RZQkxnMG00ZVplcnBldkhLYTd2cncyY01IR0pWVVRvNTMtbEg3S2Z6cjFnWmlxSXZBQlVzQTdDaXE5LWQ2SlFVTWYwTVFkVFhOR1JrLVVJVGd3RWwyNDdzWUVpQjcwQlNxOXNoZTNNMDczajJBSlZFNWxqLW5OdHpuZnpCcUZFUW5SekhMakJuMW9vNm9yMzdvdE1zbTVhZ9IBrwFBVV95cUxOeGg5ZEZVVmwwN1BybDRrSWhJLXBnOXJYdHktLXYySHJYaWdLN1F2NXNYSGRUWEJnY3pSWktuTjJFZ2dpUDJKd3pxZ3NoZEdtdk5CT3VUdEpRQkNuMUVTMzFFdHJKUjVEWnNSRHVYY2h6bk1WREpjZ3htZkEwbFFxNzd1ZFdJeEtPRC1EeW9OM1Ftb19ZREt3U2xFZ3FYV25Vd1QyTGFUbkRiVEFGTDE4?oc=5"" target=""_blank"">WATCH: Kennedy says NIH is studying possible causes of U.S. gun violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PBS</font>",rss_1757826250989_3rjc98x6f
Summer 2025 violence: Tracking shootings across Chicago | Live updates - ABC7 Chicago,https://news.google.com/rss/articles/CBMiygFBVV95cUxQQ2Y5bVVISEpncmh4R3Vkbm9aWnA0aXBwQlFkS0Y1Z3l3THdiMnRXcnZ3Z0xQaUY3WlhUMTdCTW1UbGU0ejNfaFV0TDFHNGNoYnJaUmJSVk03eW9IMXlIRVNLYUZKOVJUSzZjaVdmSE1UbnVLX3VBZHUwMFRReDdkMDlhNTl2RG5PLTc2Z0FIZ19CZGtoYWNqaHRqWEF1OG5mUktHVjRVdTVja0VQQjVnSWlDVVZ3c2t4YWIwWi1BNk1PRU1HVVM2aERR?oc=5,"Fri, 20 Jun 2025 15:08:45 GMT","<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQQ2Y5bVVISEpncmh4R3Vkbm9aWnA0aXBwQlFkS0Y1Z3l3THdiMnRXcnZ3Z0xQaUY3WlhUMTdCTW1UbGU0ejNfaFV0TDFHNGNoYnJaUmJSVk03eW9IMXlIRVNLYUZKOVJUSzZjaVdmSE1UbnVLX3VBZHUwMFRReDdkMDlhNTl2RG5PLTc2Z0FIZ19CZGtoYWNqaHRqWEF1OG5mUktHVjRVdTVja0VQQjVnSWlDVVZ3c2t4YWIwWi1BNk1PRU1HVVM2aERR?oc=5"" target=""_blank"">Summer 2025 violence: Tracking shootings across Chicago | Live updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC7 Chicago</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQQ2Y5bVVISEpncmh4R3Vkbm9aWnA0aXBwQlFkS0Y1Z3l3THdiMnRXcnZ3Z0xQaUY3WlhUMTdCTW1UbGU0ejNfaFV0TDFHNGNoYnJaUmJSVk03eW9IMXlIRVNLYUZKOVJUSzZjaVdmSE1UbnVLX3VBZHUwMFRReDdkMDlhNTl2RG5PLTc2Z0FIZ19CZGtoYWNqaHRqWEF1OG5mUktHVjRVdTVja0VQQjVnSWlDVVZ3c2t4YWIwWi1BNk1PRU1HVVM2aERR?oc=5"" target=""_blank"">Summer 2025 violence: Tracking shootings across Chicago | Live updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC7 Chicago</font>",rss_1757826250989_dgpod6ves
League Demands Congress Pass Comprehensive Gun Reform - League of Women Voters,https://news.google.com/rss/articles/CBMifkFVX3lxTE12UkQxYno1YUVqSUo1b3NMX0NwN0lyVVg4b1JaSF82TUZXdWRCdlJlX1Fia3JTMGppVUFBa1FxTUM3MGllamJGQkRfYnI2QW03eE8yb003cU5uOWs0Z0hyOU5uWTJGVmNxQlUycGVWdUVlUEtWTkluSHBTZlBWZw?oc=5,"Fri, 12 Sep 2025 12:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE12UkQxYno1YUVqSUo1b3NMX0NwN0lyVVg4b1JaSF82TUZXdWRCdlJlX1Fia3JTMGppVUFBa1FxTUM3MGllamJGQkRfYnI2QW03eE8yb003cU5uOWs0Z0hyOU5uWTJGVmNxQlUycGVWdUVlUEtWTkluSHBTZlBWZw?oc=5"" target=""_blank"">League Demands Congress Pass Comprehensive Gun Reform</a>&nbsp;&nbsp;<font color=""#6f6f6f"">League of Women Voters</font>",RSS Feed,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE12UkQxYno1YUVqSUo1b3NMX0NwN0lyVVg4b1JaSF82TUZXdWRCdlJlX1Fia3JTMGppVUFBa1FxTUM3MGllamJGQkRfYnI2QW03eE8yb003cU5uOWs0Z0hyOU5uWTJGVmNxQlUycGVWdUVlUEtWTkluSHBTZlBWZw?oc=5"" target=""_blank"">League Demands Congress Pass Comprehensive Gun Reform</a>&nbsp;&nbsp;<font color=""#6f6f6f"">League of Women Voters</font>",rss_1757826250989_7o9lptwkh
